date,TotalExchangeMarginMaintenance
2019-10-15,157.834
2019-10-16,157.46
2019-10-17,158.764
2019-10-18,158.664
2019-10-21,159.329
2019-10-22,159.572
2019-10-23,159.511
2019-10-24,161.295
2019-10-25,160.576
2019-10-28,161.04
2019-10-29,159.458
2019-10-30,160.268
2019-10-31,158.831
2019-11-01,160.211
2019-11-04,161.772
2019-11-05,162.889
2019-11-06,161.868
2019-11-07,160.432
2019-11-08,160.411
2019-11-11,156.38
2019-11-12,154.497
2019-11-13,157.975
2019-11-14,157.58
2019-11-15,158.533
2019-11-18,159.333
2019-11-19,160.074
2019-11-20,158.78
2019-11-21,159.084
2019-11-22,158.561
2019-11-25,159.31
2019-11-26,160.282
2019-11-27,160.866
2019-11-28,159.949
2019-11-29,158.413
2019-12-02,157.213
2019-12-03,158.466
2019-12-04,158.304
2019-12-05,159.57
2019-12-06,160.281
2019-12-09,160.722
2019-12-10,160.329
2019-12-11,161.041
2019-12-12,160.948
2019-12-13,160.493
2019-12-16,161.755
2019-12-17,163.087
2019-12-18,162.905
2019-12-19,162.398
2019-12-20,162.374
2019-12-23,161.964
2019-12-24,162.103
2019-12-25,163.217
2019-12-26,163.198
2019-12-27,163.87
2019-12-30,164.883
2019-12-31,164.747
2020-01-02,166.764
2020-01-03,165.209
2020-01-06,163.083
2020-01-07,160.375
2020-01-08,159.042
2020-01-09,161.36
2020-01-10,161.61
2020-01-13,163.479
2020-01-14,164.844
2020-01-15,163.525
2020-01-16,164.514
2020-01-17,164.498
2020-01-20,165.286
2020-01-30,152.852
2020-01-31,153.024
2020-02-03,150.677
2020-02-04,154.052
2020-02-05,153.388
2020-02-06,155.988
2020-02-07,153.115
2020-02-10,152.303
2020-02-11,154.899
2020-02-12,156.646
2020-02-13,155.861
2020-02-14,157.209
2020-02-17,156.429
2020-02-18,155.588
2020-02-19,157.392
2020-02-20,157.595
2020-02-21,156.828
2020-02-24,155.629
2020-02-25,155.483
2020-02-26,153.649
2020-02-27,148.628
2020-03-02,148.716
2020-03-03,151.147
2020-03-04,150.896
2020-03-05,153.869
2020-03-06,152.523
2020-03-09,147.005
2020-03-10,149.34
2020-03-11,146.939
2020-03-12,138.773
2020-03-13,136.534
2020-03-16,131.365
2020-03-17,129.802
2020-03-18,128.832
2020-03-19,124.247
2020-03-20,133.697
2020-03-23,129.772
2020-03-24,92.557
2020-03-25,142.913
2020-03-26,144.677
2020-03-27,143.228
2020-03-30,143.325
2020-03-31,143.809
2020-04-01,145.073
2020-04-06,148.42
2020-04-07,151.054
2020-04-08,153.991
2020-04-09,152.495
2020-04-10,153.725
2020-04-13,151.995
2020-04-14,155.737
2020-04-15,156.841
2020-04-16,156.978
2020-04-17,157.012
2020-04-20,157.867
2020-04-21,152.5
2020-04-22,155.1
2020-04-23,156.115
2020-04-24,156.33
2020-04-27,160.843
2020-04-28,161.461
2020-04-29,162.759
2020-04-30,165.071
2020-05-04,162.361
2020-05-05,163.208
2020-05-06,163.122
2020-05-07,164.579
2020-05-08,163.521
2020-05-11,164.337
2020-05-12,163.028
2020-05-13,163.728
2020-05-14,158.782
2020-05-15,158.843
2020-05-18,157.073
2020-05-19,158.812
2020-05-20,160.063
2020-05-21,161.717
2020-05-22,159.115
2020-05-25,161.371
2020-05-26,161.886
2020-05-27,161.765
2020-05-28,160.78
2020-05-29,161.752
2020-06-01,164.941
2020-06-02,164.781
2020-06-03,167.132
2020-06-04,167.475
2020-06-05,168.01
2020-06-08,168.008
2020-06-09,168.012
2020-06-10,168.661
2020-06-11,163.531
2020-06-12,164.224
2020-06-15,162.6
2020-06-16,166.217
2020-06-17,166.582
2020-06-18,166.174
2020-06-19,167.849
2020-06-22,168.024
2020-06-23,167.837
2020-06-24,168.476
2020-06-29,166.566
2020-06-30,167.746
2020-07-01,169.094
2020-07-02,170.685
2020-07-03,171.212
2020-07-06,174.796
2020-07-07,172.885
2020-07-08,174.039
2020-07-09,173.09
2020-07-10,168.143
2020-07-13,170.193
2020-07-14,167.541
2020-07-15,165.672
2020-07-16,165.629
2020-07-17,162.95
2020-07-20,163.95
2020-07-21,166.555
2020-07-22,167.89
2020-07-23,167.197
2020-07-24,163.065
2020-07-27,162.89
2020-07-28,159.486
2020-07-29,161.244
2020-07-30,163.335
2020-07-31,163.945
2020-08-03,163.869
2020-08-04,166.117
2020-08-05,167.698
2020-08-06,166.96
2020-08-07,165.494
2020-08-10,165.059
2020-08-11,163.304
2020-08-12,162.892
2020-08-13,161.167
2020-08-14,164.598
2020-08-17,166.89
2020-08-18,162.392
2020-08-19,162.688
2020-08-20,153.821
2020-08-21,158.78
2020-08-24,159.739
2020-08-25,160.93
2020-08-26,161.697
2020-08-27,161.074
2020-08-28,161.429
2020-08-31,160.685
2020-09-01,162.035
2020-09-02,162.857
2020-09-03,163.82
2020-09-04,162.508
2020-09-07,160.302
2020-09-08,159.37
2020-09-09,160.544
2020-09-10,159.762
2020-09-11,158.103
2020-09-14,160.808
2020-09-15,161.556
2020-09-16,161.759
2020-09-17,161.62
2020-09-18,162.242
2020-09-21,160.647
2020-09-22,158.45
2020-09-23,157.771
2020-09-24,153.328
2020-09-25,150.053
2020-09-28,153.598
2020-09-29,153.639
2020-09-30,155.098
2020-10-05,157.056
2020-10-06,158.801
2020-10-07,159.106
2020-10-08,160.008
2020-10-12,159.485
2020-10-13,160.045
2020-10-14,160.372
2020-10-15,159.272
2020-10-16,157.89
2020-10-19,115.101
2020-10-20,160.321
2020-10-21,160.611
2020-10-22,160.633
2020-10-23,161.801
2020-10-26,162.336
2020-10-27,161.352
2020-10-28,159.526
2020-10-29,159.012
2020-10-30,156.34
2020-11-02,155.608
2020-11-03,158.81
2020-11-04,160.696
2020-11-05,161.581
2020-11-06,161.573
2020-11-09,164.902
2020-11-10,162.574
2020-11-11,163.398
2020-11-12,162.323
2020-11-13,163.009
2020-11-16,164.441
2020-11-17,164.496
2020-11-18,166.487
2020-11-19,165.804
2020-11-20,166.342
2020-11-23,168.317
2020-11-24,167.799
2020-11-25,166.725
2020-11-26,168.653
2020-11-27,170.041
2020-11-30,171.196
2020-12-01,171.649
2020-12-02,171.858
2020-12-03,171.159
2020-12-04,171.662
2020-12-07,171.433
2020-12-08,172.208
2020-12-09,173.696
2020-12-10,171.223
2020-12-11,168.432
2020-12-14,169.338
2020-12-15,165.293
2020-12-16,168.41
2020-12-17,168.707
2020-12-18,168.413
2020-12-21,168.933
2020-12-22,165.154
2020-12-23,167.308
2020-12-24,166.082
2020-12-25,167.044
2020-12-28,169.484
2020-12-29,168.309
2020-12-30,169.673
2020-12-31,170.282
2021-01-04,173.03
2021-01-05,173.608
2021-01-06,170.978
2021-01-07,172.021
2021-01-08,172.425
2021-01-11,173.865
2021-01-12,169.903
2021-01-13,172.724
2021-01-14,173.758
2021-01-15,169.583
2021-01-18,169.987
2021-01-19,170.824
2021-01-20,165.902
2021-01-21,168.846
2021-01-22,171.558
2021-01-25,171.812
2021-01-26,167.377
2021-01-27,168.53
2021-01-28,165.683
2021-01-29,162.518
2021-02-01,163.732
2021-02-02,167.273
