出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,5833,元大證金,金融保險業,156452,151851,173588,3.029943826514149,-9.871650114063184,1173440,984179,19.230343260727977,-
1140817,11407,5834,兆豐保險,金融保險業,621292,650228,636286,-4.450131338545864,-2.3564874914739598,4189311,3991408,4.958225267875396,-
1140817,11407,5835,國泰世華,金融保險業,10536570,9882632,9701528,6.617042909216897,8.607324536918307,68462386,62970074,8.722098690879735,-
1140817,11407,5836,台北富邦,金融保險業,8242409,8265187,7827662,-0.27558965090566007,5.298478651735346,56088954,49004301,14.45720652152553,-
1140817,11407,5838,華南銀行,金融保險業,6332121,5055454,5822485,25.253261131443388,8.752895026779802,33808908,33409820,1.1945230474154007,-
1140817,11407,5839,中華開發資本,其他,92438,450861,-32758,-79.49745043372569,382.1845045485072,746375,873646,-14.567799772447879,-
1140817,11407,5840,國際票券,金融保險業,334873,314219,253202,6.573122567381349,32.255274444909595,1847709,1743459,5.97949249165022,-
1140817,11407,5841,中信銀,金融保險業,14115269,14398830,13689004,-1.969333619467693,3.1139226783774774,98284427,88689307,10.818801414244898,-
1140817,11407,5842,兆豐票券,金融保險業,467435,384864,356698,21.454591751891577,31.045029688980595,2520155,2316384,8.796943857322447,-
1140817,11407,5843,兆豐銀行,金融保險業,6749166,6673185,6702199,1.1386017321563842,0.7007700010101162,40152514,43069320,-6.77235210586097,-
1140817,11407,5844,第一銀行,金融保險業,6560316,6117016,5971263,7.246997555670935,9.8647974473742,39712212,37347116,6.332740659278751,-
1140817,11407,5846,國泰人壽,金融保險業,69509466,35391480,92816743,96.40169328889326,-25.111069669833167,405735967,503505539,-19.41777486582923,-
1140817,11407,5847,玉山銀行,金融保險業,7650116,7154298,7531108,6.930351517367602,1.5802190062869899,49161995,41256141,19.162853840353126,-
1140817,11407,5848,台新銀行,金融保險業,5108367,4979064,4357646,2.5969338815488214,17.227672922490722,33554984,29792645,12.628415503222355,-
1140817,11407,5849,永豐銀行,金融保險業,4451896,4537278,4251961,-1.8817890373920223,4.702183298482747,32111873,28180162,13.952052511266613,-
1140817,11407,5852,元大銀行,金融保險業,2785647,2792936,2883018,-0.2609798434335767,-3.3773982680649235,17296749,16235994,6.533354225186336,-
1140817,11407,5854,合庫,金融保險業,5462578,6130186,6639695,-10.890501528012363,-17.728479997951712,34778659,34775983,0.007694965804417376,-
1140817,11407,5857,土地銀行,金融保險業,3850597,3732635,3103483,3.1602875716484466,24.07340397869104,21790878,21790221,0.0030151139816342386,-
1140817,11407,5858,臺銀,金融保險業,7616740,6652551,5320219,14.493522860628953,43.16591102734681,34616783,36287413,-4.603882894600395,-
1140817,11407,5862,板信銀行,金融保險業,511497,506995,473371,0.8879771989861833,8.054147803731112,3223515,3099641,3.9963982925764627,-
1140817,11407,5865,富邦人壽,金融保險業,50758016,7972740,68722904,536.6445663598713,-26.14104898710334,290665173,401695915,-27.640495671956234,-
1140817,11407,5866,統一期,期貨商,57228,48352,83307,18.35704831237591,-31.30469228276135,411312,489935,-16.04763897251676,-
1140817,11407,5867,康和期,期貨商,42681,38906,61691,9.702873592762042,-30.814867646820442,298268,388692,-23.2636637749169,-
1140817,11407,5868,臺灣金控,金融保險業,38312826,21909737,-573552,74.86666316441864,6779.921959996653,32209311,132488902,-75.68904978924196,-
