futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
TX,2018-06-07,外資,51972.0,116473656.0,55267.0,123877249.0,76369.0,171233679.0,23852.0,53302760.0
UDF,2018-06-07,自營商,1651.0,824879.0,1286.0,642177.0,1586.0,798508.0,93.0,46814.0
UDF,2018-06-07,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-07,外資,191.0,95234.0,187.0,93317.0,3.0,1511.0,449.0,226021.0
XIF,2018-06-07,自營商,192.0,249335.0,198.0,257239.0,267.0,347000.0,270.0,349872.0
XIF,2018-06-07,投信,0.0,0.0,0.0,0.0,1.0,1308.0,0.0,0.0
XIF,2018-06-07,外資,75.0,97911.0,70.0,91386.0,18.0,23544.0,0.0,0.0
ETF,2018-06-08,自營商,669.0,241014.0,914.0,318066.0,3133.0,1331462.0,7071.0,2180261.0
ETF,2018-06-08,投信,0.0,0.0,0.0,0.0,2653.0,1122626.0,4726.0,3517508.0
ETF,2018-06-08,外資,1980.0,562565.0,1748.0,520348.0,4248.0,2854436.0,5531.0,1336010.0
GTF,2018-06-08,自營商,3.0,1851.0,0.0,0.0,25.0,15615.0,9.0,5590.0
GTF,2018-06-08,投信,0.0,0.0,0.0,0.0,9.0,5621.0,0.0,0.0
GTF,2018-06-08,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31230.0
I5F,2018-06-08,自營商,44.0,23598.0,32.0,17163.0,77.0,41387.0,287.0,154333.0
I5F,2018-06-08,投信,0.0,0.0,0.0,0.0,226.0,121543.0,0.0,0.0
I5F,2018-06-08,外資,34.0,18220.0,45.0,24124.0,0.0,0.0,31.0,16660.0
MTX,2018-06-08,自營商,8047.0,4468520.0,8690.0,4802995.0,27222.0,14943156.0,9520.0,5152709.0
MTX,2018-06-08,投信,0.0,0.0,0.0,0.0,46.0,25588.0,0.0,0.0
MTX,2018-06-08,外資,34865.0,19466088.0,37986.0,21207896.0,582.0,322788.0,8074.0,4489016.0
SF,2018-06-08,自營商,20580.0,4012800.0,23205.0,4268860.0,28535.0,3735184.0,93748.0,14599966.0
SF,2018-06-08,投信,0.0,0.0,150.0,35205.0,0.0,0.0,377.0,225842.0
SF,2018-06-08,外資,19409.0,4860536.0,18600.0,4622487.0,27720.0,8921619.0,23477.0,5705230.0
SPF,2018-06-08,自營商,98.0,54294.0,99.0,54838.0,418.0,231521.0,327.0,181090.0
SPF,2018-06-08,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-08,外資,14.0,7757.0,3.0,1663.0,12.0,6652.0,32.0,17718.0
T5F,2018-06-08,自營商,0.0,0.0,0.0,0.0,236.0,193805.0,216.0,177271.0
T5F,2018-06-08,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-08,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-08,自營商,469.0,861821.0,630.0,1156967.0,702.0,1285898.0,750.0,1372530.0
TE,2018-06-08,投信,15.0,27565.0,0.0,0.0,47.0,86217.0,24.0,44026.0
TE,2018-06-08,外資,1562.0,2874867.0,1535.0,2825588.0,2120.0,3888928.0,1773.0,3252391.0
TF,2018-06-08,自營商,249.0,320016.0,184.0,236095.0,268.0,344434.0,280.0,354919.0
TF,2018-06-08,投信,0.0,0.0,0.0,0.0,50.0,64260.0,0.0,0.0
TF,2018-06-08,外資,455.0,585030.0,594.0,763731.0,1017.0,1307048.0,1835.0,2355214.0
TJF,2018-06-08,自營商,58.0,20676.0,28.0,9968.0,28.0,9909.0,7.0,2477.0
TJF,2018-06-08,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-08,外資,8.0,2856.0,9.0,3209.0,4.0,1416.0,0.0,0.0
TX,2018-06-08,自營商,15711.0,35016021.0,16126.0,35906302.0,8011.0,17322894.0,13416.0,29420384.0
TX,2018-06-08,投信,10.0,22222.0,547.0,1217113.0,1656.0,3684600.0,26493.0,58946925.0
TX,2018-06-08,外資,49370.0,110244773.0,50896.0,113658864.0,74893.0,166386759.0,23902.0,52929841.0
UDF,2018-06-08,自營商,1628.0,821985.0,1345.0,678953.0,1881.0,948983.0,105.0,52960.0
UDF,2018-06-08,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-08,外資,366.0,184746.0,326.0,164556.0,33.0,16646.0,439.0,221431.0
XIF,2018-06-08,自營商,159.0,205995.0,146.0,189071.0,266.0,342458.0,256.0,328347.0
XIF,2018-06-08,投信,0.0,0.0,0.0,0.0,1.0,1297.0,0.0,0.0
XIF,2018-06-08,外資,51.0,66283.0,72.0,93604.0,0.0,0.0,3.0,3890.0
ETF,2018-06-11,自營商,372.0,112711.0,364.0,105251.0,3127.0,1333099.0,7057.0,2183860.0
ETF,2018-06-11,投信,0.0,0.0,0.0,0.0,2653.0,1126350.0,4726.0,3521041.0
ETF,2018-06-11,外資,998.0,286562.0,988.0,280640.0,4154.0,2836746.0,5427.0,1318187.0
GTF,2018-06-11,自營商,0.0,0.0,0.0,0.0,25.0,15710.0,9.0,5624.0
GTF,2018-06-11,投信,0.0,0.0,0.0,0.0,9.0,5656.0,0.0,0.0
GTF,2018-06-11,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31420.0
I5F,2018-06-11,自營商,52.0,28085.0,58.0,31311.0,78.0,42085.0,294.0,158496.0
I5F,2018-06-11,投信,0.0,0.0,0.0,0.0,226.0,121814.0,0.0,0.0
I5F,2018-06-11,外資,89.0,47976.0,81.0,43677.0,7.0,3773.0,30.0,16193.0
MTX,2018-06-11,自營商,7559.0,4175219.0,7909.0,4367097.0,27127.0,14892866.0,9775.0,5293271.0
MTX,2018-06-11,投信,0.0,0.0,0.0,0.0,46.0,25594.0,0.0,0.0
MTX,2018-06-11,外資,32598.0,18129127.0,35110.0,19524053.0,619.0,343533.0,10627.0,5909512.0
SF,2018-06-11,自營商,16671.0,3073540.0,19846.0,3573401.0,28322.0,3657722.0,96710.0,15020503.0
SF,2018-06-11,投信,0.0,0.0,0.0,0.0,0.0,0.0,377.0,227853.0
SF,2018-06-11,外資,19282.0,4350624.0,18988.0,4344495.0,27869.0,9007620.0,23332.0,5789055.0
SPF,2018-06-11,自營商,101.0,55931.0,100.0,55409.0,390.0,216619.0,298.0,165492.0
SPF,2018-06-11,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-11,外資,16.0,8889.0,11.0,6076.0,4.0,2222.0,19.0,10551.0
T5F,2018-06-11,自營商,26.0,20992.0,26.0,20992.0,222.0,182201.0,202.0,165697.0
T5F,2018-06-11,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-11,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-11,自營商,539.0,988157.0,554.0,1016174.0,719.0,1315573.0,782.0,1430537.0
TE,2018-06-11,投信,0.0,0.0,0.0,0.0,47.0,86189.0,24.0,44011.0
TE,2018-06-11,外資,1341.0,2462071.0,1350.0,2477246.0,2148.0,3939002.0,1810.0,3317864.0
TF,2018-06-11,自營商,140.0,180058.0,138.0,177710.0,272.0,350124.0,282.0,358875.0
TF,2018-06-11,投信,0.0,0.0,0.0,0.0,50.0,64400.0,0.0,0.0
TF,2018-06-11,外資,514.0,662372.0,492.0,634035.0,1025.0,1320200.0,1821.0,2342734.0
TJF,2018-06-11,自營商,69.0,24626.0,27.0,9635.0,63.0,22560.0,0.0,0.0
TJF,2018-06-11,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-11,外資,8.0,2855.0,4.0,1427.0,8.0,2865.0,0.0,0.0
TX,2018-06-11,自營商,13583.0,30169835.0,14911.0,33125032.0,7033.0,15146695.0,13766.0,30207913.0
TX,2018-06-11,投信,6.0,13353.0,199.0,443246.0,1530.0,3405168.0,26560.0,59111936.0
TX,2018-06-11,外資,46731.0,103962131.0,47318.0,105273154.0,74625.0,165817366.0,24220.0,53638811.0
UDF,2018-06-11,自營商,2179.0,1098730.0,1918.0,967238.0,2099.0,1062538.0,62.0,31381.0
UDF,2018-06-11,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-11,外資,434.0,218761.0,441.0,222238.0,3.0,1519.0,416.0,210558.0
XIF,2018-06-11,自營商,105.0,135534.0,108.0,139427.0,264.0,339779.0,257.0,329714.0
XIF,2018-06-11,投信,0.0,0.0,0.0,0.0,1.0,1296.0,0.0,0.0
XIF,2018-06-11,外資,53.0,68670.0,52.0,67383.0,0.0,0.0,2.0,2591.0
ETF,2018-06-12,自營商,555.0,214706.0,695.0,266246.0,3065.0,1312749.0,7135.0,2226736.0
ETF,2018-06-12,投信,0.0,0.0,0.0,0.0,2653.0,1130534.0,4726.0,3519337.0
ETF,2018-06-12,外資,2211.0,629888.0,1778.0,512018.0,3979.0,2798270.0,4819.0,1176933.0
GTF,2018-06-12,自營商,12.0,7535.0,27.0,17055.0,7.0,4421.0,6.0,3788.0
GTF,2018-06-12,投信,0.0,0.0,0.0,0.0,9.0,5695.0,0.0,0.0
GTF,2018-06-12,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31640.0
I5F,2018-06-12,自營商,76.0,41171.0,45.0,24336.0,123.0,66787.0,308.0,167080.0
I5F,2018-06-12,投信,0.0,0.0,0.0,0.0,226.0,122560.0,0.0,0.0
I5F,2018-06-12,外資,95.0,51275.0,84.0,45325.0,3.0,1627.0,15.0,8153.0
MTX,2018-06-12,自營商,11395.0,6293475.0,11059.0,6103406.0,27570.0,15154612.0,9954.0,5399353.0
MTX,2018-06-12,投信,0.0,0.0,0.0,0.0,46.0,25624.0,0.0,0.0
MTX,2018-06-12,外資,48134.0,26732066.0,48966.0,27192371.0,673.0,374077.0,11541.0,6423233.0
SF,2018-06-12,自營商,21676.0,4569029.0,25191.0,4922020.0,27783.0,3622688.0,99686.0,15276812.0
SF,2018-06-12,投信,150.0,36151.0,0.0,0.0,0.0,0.0,227.0,191180.0
SF,2018-06-12,外資,21310.0,5025198.0,21169.0,4930847.0,28839.0,9168524.0,24161.0,5862688.0
SPF,2018-06-12,自營商,41.0,22821.0,46.0,25603.0,382.0,212793.0,295.0,164254.0
SPF,2018-06-12,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-12,外資,12.0,6678.0,1.0,556.0,14.0,7796.0,18.0,10021.0
T5F,2018-06-12,自營商,32.0,25695.0,34.0,27342.0,232.0,189817.0,214.0,174996.0
T5F,2018-06-12,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-12,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-12,自營商,730.0,1331848.0,724.0,1321703.0,744.0,1362278.0,801.0,1467868.0
TE,2018-06-12,投信,0.0,0.0,0.0,0.0,47.0,86348.0,24.0,44093.0
TE,2018-06-12,外資,1777.0,3252128.0,1793.0,3279872.0,2130.0,3913236.0,1808.0,3319150.0
TF,2018-06-12,自營商,186.0,238858.0,250.0,320822.0,261.0,334967.0,335.0,425693.0
TF,2018-06-12,投信,0.0,0.0,0.0,0.0,50.0,64170.0,0.0,0.0
TF,2018-06-12,外資,805.0,1034082.0,844.0,1084030.0,988.0,1267999.0,1823.0,2336970.0
TJF,2018-06-12,自營商,40.0,14316.0,56.0,20045.0,47.0,16831.0,0.0,0.0
TJF,2018-06-12,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-12,外資,33.0,11816.0,14.0,5017.0,27.0,9669.0,0.0,0.0
TX,2018-06-12,自營商,20829.0,46205536.0,20476.0,45398398.0,6976.0,15042924.0,13338.0,29253275.0
TX,2018-06-12,投信,16.0,35612.0,117.0,259650.0,1486.0,3311105.0,26617.0,59307999.0
TX,2018-06-12,外資,63025.0,139946701.0,63225.0,140447536.0,74397.0,165429259.0,24185.0,53621552.0
UDF,2018-06-12,自營商,1044.0,529194.0,1148.0,581809.0,1983.0,1005256.0,50.0,25343.0
UDF,2018-06-12,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-12,外資,270.0,136764.0,245.0,124141.0,13.0,6593.0,401.0,203251.0
XIF,2018-06-12,自營商,204.0,262858.0,196.0,252616.0,237.0,305272.0,222.0,284940.0
XIF,2018-06-12,投信,0.0,0.0,0.0,0.0,1.0,1299.0,0.0,0.0
XIF,2018-06-12,外資,93.0,120438.0,97.0,125664.0,0.0,0.0,6.0,7794.0
ETF,2018-06-13,自營商,755.0,262865.0,662.0,214069.0,3163.0,1369540.0,7140.0,2225442.0
ETF,2018-06-13,投信,0.0,0.0,0.0,0.0,2653.0,1129274.0,4726.0,3533466.0
ETF,2018-06-13,外資,1249.0,371043.0,1294.0,379770.0,3744.0,2764513.0,4629.0,1131230.0
GTF,2018-06-13,自營商,2.0,1251.0,7.0,4366.0,5.0,3135.0,9.0,5616.0
GTF,2018-06-13,投信,0.0,0.0,0.0,0.0,9.0,5643.0,0.0,0.0
GTF,2018-06-13,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31350.0
I5F,2018-06-13,自營商,180.0,97771.0,207.0,112435.0,147.0,79817.0,359.0,194904.0
I5F,2018-06-13,投信,0.0,0.0,0.0,0.0,226.0,122684.0,0.0,0.0
I5F,2018-06-13,外資,98.0,53182.0,66.0,35781.0,24.0,13034.0,4.0,2171.0
MTX,2018-06-13,自營商,10959.0,6062210.0,9521.0,5266112.0,27521.0,15121057.0,9925.0,5376506.0
MTX,2018-06-13,投信,0.0,0.0,0.0,0.0,46.0,25636.0,0.0,0.0
MTX,2018-06-13,外資,33926.0,18882603.0,34772.0,19349924.0,401.0,222590.0,12033.0,6698415.0
SF,2018-06-13,自營商,22378.0,4127934.0,23841.0,4415729.0,26926.0,3503191.0,100292.0,15517672.0
SF,2018-06-13,投信,0.0,0.0,0.0,0.0,0.0,0.0,227.0,182326.0
SF,2018-06-13,外資,22005.0,4372927.0,22059.0,4462662.0,29338.0,9269024.0,24714.0,5989694.0
SPF,2018-06-13,自營商,39.0,21738.0,38.0,21188.0,369.0,205979.0,281.0,156792.0
SPF,2018-06-13,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-13,外資,1.0,557.0,3.0,1669.0,12.0,6697.0,18.0,10042.0
T5F,2018-06-13,自營商,70.0,57359.0,72.0,59189.0,260.0,214423.0,244.0,201327.0
