Month,Code,Name,HighestPrice,LowestPrice,WeightedAvgPriceAB,Transaction,TradeValueA,TradeVolumeB,TurnoverRatio
11408,047929,台積電永豐49購03,0.66,0.46,0.57,4,20250,35000,1.75
11408,04803U,台積電凱基51售32,1.02,0.77,0.84,22,264770,315000,6.30
11408,04810U,台積電群益51售29,1.49,1.31,1.40,26,3411520,2435000,48.70
11408,048248,台積電統一4A購08,0.64,0.53,0.58,24,2754940,4703000,235.15
11408,048376,台積電元富4B購02,2.76,1.37,2.05,168,19923560,9693000,182.88
11408,048377,台積電元富52購01,7.65,5.75,7.51,5,1390950,185000,37.00
11408,04839P,台積電凱基56售08,1.00,0.77,0.86,198,1871710,2160000,86.40
11408,048475,台積電元富58購01,2.03,1.89,1.92,6,26960,14000,0.43
11408,04851U,台積電元富52售06,2.48,1.81,2.03,7,966670,475000,9.50
11408,04852U,台積電元富52售07,2.33,2.28,2.30,2,92200,40000,0.80
11408,048557,台積電元大48購01,0.50,0.21,0.39,47,1281720,3285000,
11408,04863U,台積電國泰53售02,2.77,1.85,2.08,4,251970,121000,2.42
11408,04928U,台積電群益54售17,0.90,0.64,0.68,20,71470,104000,2.08
11408,04943U,台積電國泰53售03,1.30,1.02,1.13,3,137970,122000,2.44
11408,04950U,台積電永豐52售04,0.84,0.65,0.72,21,224450,310000,6.20
11408,049575,台積電永豐49購04,0.57,0.22,0.40,7,22730,56000,3.50
11408,049576,台積電永豐49購05,0.43,0.41,0.42,3,27380,64000,3.76
11408,04963U,台積電元大52售15,0.80,0.58,0.68,32,1396550,2046000,40.92
11408,049929,台積電永豐49購06,3.57,2.57,3.22,23,728420,226000,22.62
11408,05057U,台積電富邦52售06,0.83,0.65,0.73,21,388370,527000,5.27
11408,05064P,台積電元富4A售04,0.06,0.02,0.02,8,5820,246000,7.02
11408,05074P,台積電元富4A售05,0.20,0.20,0.20,1,8000,40000,1.66
11408,050800,台積電中信49購01,0.82,0.79,0.80,6,193800,240000,4.80
11408,050916,台積電元富49購02,17.50,16.40,16.95,2,33900,2000,0.40
11408,05107U,台積電群益52售06,2.30,1.88,2.05,26,3434380,1675000,33.50
11408,05108U,台積電群益52售07,1.76,1.59,1.67,11,251700,150000,3.00
11408,05147U,台積電群益52售08,1.71,1.48,1.65,40,830570,501000,10.02
11408,05156P,台積電統一4A售10,0.29,0.22,0.26,22,136830,507000,10.14
11408,05160P,台積電永豐49售10,0.23,0.08,0.20,9,32800,164000,10.25
11408,051846,台積電元大48購02,0.42,0.22,0.33,14,347500,1039000,
11408,051965,台積電元大48購03,0.99,0.18,0.55,16,73140,132000,
11408,052000,台積電元富49購06,3.00,2.51,2.77,9,191770,69000,4.60
11408,05226U,台積電凱基55售05,1.53,1.34,1.35,7,754300,556000,11.12
11408,05232P,台積電元富5B售02,3.02,2.35,2.59,28,1674030,644000,64.40
11408,05234U,台積電群益54售20,1.71,1.40,1.50,8,52750,35000,0.70
11408,05235U,台積電群益54售21,1.24,1.02,1.12,6,58450,52000,1.04
11408,052364,台積電群益49購03,0.53,0.53,0.53,1,132500,250000,50.00
11408,052365,台積電群益49購04,1.03,0.98,1.00,2,6030,6000,0.60
11408,052532,台積電群益4A購02,0.63,0.48,0.54,22,128300,237000,12.25
11408,05255U,台積電凱基53售33,1.50,1.40,1.45,2,5800,4000,0.08
11408,05297U,台積電凱基54售15,1.34,1.22,1.25,7,122630,98000,1.96
11408,05306U,台積電中信58售03,0.87,0.86,0.86,4,228120,264000,2.64
11408,053330,台積電群益49購05,0.67,0.42,0.57,10,117030,205000,16.91
11408,053426,台積電元富5A購01,1.97,1.65,1.79,48,602060,336000,10.50
11408,053441,台積電永豐4A購03,0.79,0.56,0.69,58,1470930,2122000,84.88
11408,05360U,台積電凱基53售38,1.83,1.83,1.83,1,1830,1000,0.02
11408,05364P,台積電元富4B售03,0.50,0.31,0.40,9,186530,458000,25.44
11408,053861,台積電群益4A購06,0.76,0.74,0.75,2,1500,2000,0.25
11408,05401P,台積電元大49售03,0.02,0.01,0.01,9,3760,374000,2.71
