date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2020-04-01,DPF,202004,19.4,19.9,19.35,19.5,-0.3,-1.52,30,19.5,349,position
2020-04-01,DPF,202005,19.4,19.4,19.3,19.3,-0.5,-2.53,11,19.3,40,position
2020-04-01,DPF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,0,position
2020-04-01,DPF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,19.35,2,position
2020-04-01,DPF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,0,position
2020-04-01,DQF,202004,5.23,5.75,5.23,5.75,0.52,9.94,2606,5.75,3017,position
2020-04-01,DQF,202005,5.37,5.78,5.34,5.78,0.52,9.89,273,5.78,935,position
2020-04-01,DQF,202006,5.65,5.67,5.65,5.67,0.51,9.88,5,5.67,67,position
2020-04-01,DQF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,5.83,7,position
2020-04-01,DQF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,5.81,4,position
2020-04-01,DSF,202004,15.7,16.15,15.6,15.75,0.05,0.32,1124,15.75,1229,position
2020-04-01,DSF,202005,15.7,16.1,15.55,15.7,0.1,0.64,215,15.7,318,position
2020-04-01,DSF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,15.55,16,position
2020-04-01,DSF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,15.65,10,position
2020-04-01,DSF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,15.85,4,position
2020-04-01,DSF,202004/202005,-0.06,-0.06,-0.07,-0.07,0.0,0.0,3,0.0,0,position
2020-04-01,DUF,202004,25.8,26.5,25.4,26.15,0.4,1.55,683,26.15,1356,position
2020-04-01,DUF,202005,25.5,26.35,25.5,26.35,0.7,2.73,107,26.35,780,position
2020-04-01,DUF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,26.1,445,position
2020-04-01,DUF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,26.2,2,position
2020-04-01,DUF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,26.2,0,position
2020-04-01,DUF,202004/202005,-0.11,-0.11,-0.11,-0.11,0.0,0.0,36,0.0,0,position
2020-04-01,DVF,202004,325.0,333.5,322.0,330.5,3.5,1.07,1262,331.0,1585,position
2020-04-01,DVF,202005,326.0,332.5,326.0,330.0,4.0,1.23,240,330.0,792,position
2020-04-01,DVF,202006,328.0,329.5,328.0,329.5,4.5,1.38,4,331.0,149,position
2020-04-01,DVF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,330.5,79,position
2020-04-01,DVF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,332.0,15,position
2020-04-01,DVF,202004/202005,-0.7,-0.7,-0.76,-0.73,0.0,0.0,223,0.0,0,position
2020-04-01,DWF,202004,69.6,70.0,68.8,69.2,-0.4,-0.57,51,69.2,203,position
2020-04-01,DWF,202005,69.0,69.6,68.6,69.0,-0.4,-0.58,36,69.0,69,position
2020-04-01,DWF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,69.7,33,position
2020-04-01,DWF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,68.6,2,position
2020-04-01,DWF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,68.9,0,position
