date,stock_id,buy,name,sell
2016-03-15,2330,1166000,Dealer_Hedging,222000
2016-03-16,2330,27655000,Foreign_Investor,13982942
2016-03-16,2330,50000,Investment_Trust,236000
2016-03-16,2330,283000,Dealer_self,328000
2016-03-16,2330,731000,Dealer_Hedging,401000
2016-03-17,2330,47350200,Foreign_Investor,16559630
2016-03-17,2330,0,Investment_Trust,380000
2016-03-17,2330,121000,Dealer_self,1917000
2016-03-17,2330,467000,Dealer_Hedging,899000
2016-03-18,2330,54811811,Foreign_Investor,28581118
2016-03-18,2330,255000,Investment_Trust,369000
2016-03-18,2330,23000,Dealer_self,161000
2016-03-18,2330,82000,Dealer_Hedging,483000
2016-03-21,2330,24319770,Foreign_Investor,11718217
2016-03-21,2330,5000,Investment_Trust,261000
2016-03-21,2330,0,Dealer_self,55000
2016-03-21,2330,519000,Dealer_Hedging,151000
2016-03-22,2330,22180313,Foreign_Investor,17766609
2016-03-22,2330,0,Investment_Trust,93000
2016-03-22,2330,764000,Dealer_self,187000
2016-03-22,2330,571000,Dealer_Hedging,378000
2016-03-23,2330,28104285,Foreign_Investor,17220283
2016-03-23,2330,0,Investment_Trust,369000
2016-03-23,2330,30000,Dealer_self,54000
2016-03-23,2330,25000,Dealer_Hedging,908000
2016-03-24,2330,18573027,Foreign_Investor,13070900
2016-03-24,2330,36000,Investment_Trust,634000
2016-03-24,2330,178000,Dealer_self,410000
2016-03-24,2330,1399000,Dealer_Hedging,181000
2016-03-25,2330,4722000,Foreign_Investor,3271400
2016-03-25,2330,0,Investment_Trust,371000
2016-03-25,2330,61000,Dealer_self,10000
2016-03-25,2330,654000,Dealer_Hedging,256000
2016-03-28,2330,12433800,Foreign_Investor,4609992
2016-03-28,2330,9000,Investment_Trust,624000
2016-03-28,2330,96000,Dealer_self,20000
2016-03-28,2330,51000,Dealer_Hedging,817000
2016-03-29,2330,14197000,Foreign_Investor,8619625
2016-03-29,2330,120000,Investment_Trust,687000
2016-03-29,2330,0,Dealer_self,1037000
2016-03-29,2330,141000,Dealer_Hedging,593000
2016-03-30,2330,35832900,Foreign_Investor,21020482
2016-03-30,2330,664000,Investment_Trust,449000
2016-03-30,2330,380000,Dealer_self,68000
2016-03-30,2330,757000,Dealer_Hedging,858000
2016-03-31,2330,41492403,Foreign_Investor,33505495
2016-03-31,2330,694000,Investment_Trust,67000
2016-03-31,2330,1019000,Dealer_self,482000
2016-03-31,2330,1684000,Dealer_Hedging,1625000
2016-04-01,2330,19877400,Foreign_Investor,25597956
2016-04-01,2330,219000,Investment_Trust,196000
2016-04-01,2330,230000,Dealer_self,178000
2016-04-01,2330,1762615,Dealer_Hedging,320000
2016-04-06,2330,37550532,Foreign_Investor,52901435
2016-04-06,2330,67000,Investment_Trust,244000
2016-04-06,2330,2767000,Dealer_self,42000
2016-04-06,2330,1123000,Dealer_Hedging,115615
2016-04-07,2330,20230763,Foreign_Investor,24427006
2016-04-07,2330,86000,Investment_Trust,272000
2016-04-07,2330,339000,Dealer_self,1582000
2016-04-07,2330,299000,Dealer_Hedging,1345000
2016-04-08,2330,24520357,Foreign_Investor,24994153
2016-04-08,2330,41000,Investment_Trust,354000
2016-04-08,2330,188000,Dealer_self,772000
