Year,Code,Name,TradeVolume,TradeValue,Transaction,HighestPrice,HDate,LowestPrice,LDate,AvgClosingPrice
113,086053,台積電群益51購12,11926000,15312550,749,2.64,7月05日,0.75,4月17日,1.39
113,086081,台積電元大51購51,17249000,41277690,427,7.35,7月11日,1.05,4月22日,3.31
113,086082,台積電元大52購08,10834000,28292180,446,6.50,7月11日,1.05,4月19日,3.01
113,086290,台積電元大51購52,4002000,7345890,207,5.45,6月26日,0.28,10月28日,2.20
113,08630U,台積電群益32售07,1334000,66700,4,0.06,1月10日,0.04,1月11日,0.05
113,086533,台積電元大51購55,72667000,47344980,1198,1.47,4月01日,0.03,9月06日,0.64
113,08653T,台積電富邦3B售08,3974000,1601210,215,0.83,8月05日,0.07,10月09日,0.39
113,08659T,台積電凱基3B售35,7035000,4418470,219,2.26,5月30日,0.08,10月18日,1.18
113,08660T,台積電凱基3B售36,7712000,9606590,174,2.33,5月31日,0.06,10月28日,1.14
113,08661T,台積電凱基3C售20,5868000,5392300,200,2.26,5月31日,0.11,11月08日,1.10
113,08665T,台積電國票3B售06,12719000,15417220,412,2.31,8月05日,0.02,11月12日,1.08
113,086660,台積電統一67購01,6618000,8629300,442,2.22,6月13日,0.25,9月10日,1.35
113,08667U,台積電中信36售03,2797000,47790,143,0.07,1月08日,0.01,4月12日,0.03
113,086717,台積電國泰52購02,6488000,15211920,336,9.45,7月09日,0.47,9月10日,3.67
113,086734,台積電元大52購09,13950000,27765680,878,3.07,8月01日,0.30,12月20日,1.91
113,086801,台積電凱基4C購01,30242000,87502470,1545,5.40,7月11日,2.04,4月22日,3.58
113,08684T,台積電永豐3B售07,4965000,4901680,167,1.99,8月05日,0.09,10月15日,0.75
113,086851,台積電統一49購05,40505000,96433450,1587,3.24,7月11日,1.55,4月19日,2.35
113,086878,台積電群益57購01,37884000,18997650,906,0.78,7月08日,0.01,12月26日,0.38
113,086895,台積電統一67購02,9884000,10067130,831,2.52,7月09日,0.03,12月11日,0.79
113,08690T,台積電國泰42售02,8365000,11403410,196,2.69,8月08日,0.22,12月06日,1.58
113,086910,台積電中信51購06,614000,1607700,41,4.19,5月16日,1.53,4月02日,2.90
113,086922,台積電元大52購10,6392000,15630790,507,5.70,7月11日,0.36,8月06日,1.94
113,086923,台積電元大55購02,16631000,38699480,620,4.94,7月11日,0.77,4月23日,2.27
113,086924,台積電元大57購01,14743000,33420070,578,4.61,7月16日,0.99,4月25日,2.30
113,086987,台積電統一67購03,1581000,3241980,100,5.00,4月18日,0.05,11月22日,2.70
113,08702T,台積電國票3C售02,13274000,13640290,407,2.72,5月31日,0.01,12月18日,1.21
113,08703T,台積電國票42售02,8844000,7769450,285,2.38,6月05日,0.02,12月17日,0.82
113,087089,台積電元大51購58,29169000,98586740,1323,6.00,5月27日,1.49,8月05日,3.08
113,087090,台積電元大51購59,3437000,4206770,183,2.68,4月22日,0.01,11月25日,1.35
113,087091,台積電元大57購02,15608000,34923840,714,6.55,4月12日,0.08,10月29日,1.97
113,087145,台積電元富67購01,47789000,22141060,761,1.89,5月09日,0.03,12月17日,0.56
113,087165,台積電凱基51購21,4210000,598650,27,0.72,4月12日,0.06,7月23日,0.26
113,087166,台積電凱基67購01,22610000,17366460,913,1.56,5月16日,0.01,9月18日,0.73
113,08716U,台積電元富35售06,80000,7200,5,0.10,1月31日,0.08,2月02日,0.09
113,087228,台積電永豐54購03,4345000,5380280,155,2.02,7月15日,0.93,4月22日,1.35
113,087229,台積電永豐55購03,7893000,9364060,153,2.24,6月19日,0.05,11月05日,1.07
113,087259,台積電元大51購62,5025000,6154280,182,1.83,4月10日,0.25,8月05日,1.09
113,087260,台積電元大51購63,12120000,14622980,496,1.71,5月20日,0.03,11月29日,0.88
113,087261,台積電元大57購03,13297000,24589880,545,2.59,6月24日,0.04,9月05日,1.68
113,087326,台積電凱基52購06,20990000,21938930,778,2.21,7月05日,0.01,10月25日,1.07
113,087327,台積電凱基67購02,11821000,11248100,495,1.63,7月12日,0.09,9月09日,0.92
113,087357,台積電富邦52購04,10984000,11019550,396,1.69,5月20日,0.07,8月29日,0.81
113,087358,台積電富邦55購04,18332000,20595320,555,3.37,6月04日,0.02,10月18日,0.99
113,087359,台積電富邦55購05,20776000,37379810,473,3.32,4月19日,0.14,8月06日,1.53
113,087371,台積電元大51購66,4123000,2787930,166,1.18,4月10日,0.01,11月28日,0.59
113,087372,台積電元大52購11,1072000,2729500,101,3.42,7月01日,2.01,4月22日,2.54
