buy,date,name,sell
680833480,2016-03-22,Investment_Trust,1330717469
26238535940,2016-03-22,Foreign_Investor,22575561836
32189017210,2016-03-22,total,32534272417
3695736820,2016-03-23,Dealer_Hedging,5946020852
31131266058,2016-03-23,total,30529275853
895135660,2016-03-23,Dealer_self,1204803190
587474290,2016-03-23,Investment_Trust,928402849
25952919288,2016-03-23,Foreign_Investor,22450048962
551636160,2016-03-24,Investment_Trust,1170498622
4653030687,2016-03-24,Dealer_Hedging,5276206984
23173717773,2016-03-24,Foreign_Investor,20769387128
29217538433,2016-03-24,total,28080995494
839153813,2016-03-24,Dealer_self,864902760
728230590,2016-03-25,Dealer_self,914647455
9834777046,2016-03-25,Foreign_Investor,13487480465
14658660866,2016-03-25,total,19001362553
912683040,2016-03-25,Investment_Trust,1277344054
3182970190,2016-03-25,Dealer_Hedging,3321890579
20334945204,2016-03-28,total,19261569526
909335477,2016-03-28,Dealer_self,873085560
14940261587,2016-03-28,Foreign_Investor,12073475531
3407347210,2016-03-28,Dealer_Hedging,4263911288
1078000930,2016-03-28,Investment_Trust,2051097147
21065745858,2016-03-29,Foreign_Investor,17214254505
3965986010,2016-03-29,Dealer_Hedging,5711896246
872572280,2016-03-29,Investment_Trust,1555010405
26768488011,2016-03-29,total,26127190625
864183863,2016-03-29,Dealer_self,1646029469
1441603880,2016-03-30,Dealer_self,1020861573
864756330,2016-03-30,Investment_Trust,1337779225
4743873667,2016-03-30,Dealer_Hedging,5452230464
43435446122,2016-03-30,total,29474700776
36385212245,2016-03-30,Foreign_Investor,21663829514
47651563248,2016-03-31,total,43091769878
41148398938,2016-03-31,Foreign_Investor,35583790529
1297861740,2016-03-31,Dealer_self,1001402342
721809950,2016-03-31,Investment_Trust,855696028
4483492620,2016-03-31,Dealer_Hedging,5650880979
23363083127,2016-04-01,Foreign_Investor,27892620081
669176210,2016-04-01,Dealer_self,1081425351
497116100,2016-04-01,Investment_Trust,739434469
4104356715,2016-04-01,Dealer_Hedging,4670424417
28633732152,2016-04-01,total,34383904318
798324030,2016-04-06,Investment_Trust,1322840841
45536130535,2016-04-06,total,51580373831
5427092700,2016-04-06,Dealer_Hedging,4196904787
37858814955,2016-04-06,Foreign_Investor,44633058980
1451898850,2016-04-06,Dealer_self,1427569223
24773776730,2016-04-07,Foreign_Investor,30985774274
689367500,2016-04-07,Investment_Trust,1542468046
1115449540,2016-04-07,Dealer_self,1334703700
30919368915,2016-04-07,total,39781628350
4340775145,2016-04-07,Dealer_Hedging,5918682330
31717999802,2016-04-08,total,34544815068
3871719700,2016-04-08,Dealer_Hedging,5130198333
901876689,2016-04-08,Dealer_self,945515619
26213991233,2016-04-08,Foreign_Investor,26889608584
730412180,2016-04-08,Investment_Trust,1579492532
19171209448,2016-04-11,Foreign_Investor,19437234048
5421573030,2016-04-11,Dealer_Hedging,4415535379
912363810,2016-04-11,Investment_Trust,1230646061
26470000382,2016-04-11,total,26005394027
964854094,2016-04-11,Dealer_self,921978539
900957234,2016-04-12,Dealer_self,1585641187
27704313963,2016-04-12,total,32402273117
3899279902,2016-04-12,Dealer_Hedging,5784608256
22024868923,2016-04-12,Foreign_Investor,23207847575
879207904,2016-04-12,Investment_Trust,1824176099
1207157610,2016-04-13,Dealer_self,1156452441
1158240850,2016-04-13,Investment_Trust,1179105267
47823488445,2016-04-13,total,29743979013
7698907610,2016-04-13,Dealer_Hedging,6100730177
37759182375,2016-04-13,Foreign_Investor,21307691128
1310313119,2016-04-14,Dealer_self,829477340
35102931386,2016-04-14,total,29958832237
1074637260,2016-04-14,Investment_Trust,880029400
4475534820,2016-04-14,Dealer_Hedging,6496737404
28242446187,2016-04-14,Foreign_Investor,21752588093
29243252001,2016-04-15,Foreign_Investor,21527630301
35470042871,2016-04-15,total,29247527147
1205588990,2016-04-15,Investment_Trust,1719319318
3704795180,2016-04-15,Dealer_Hedging,5182188328
1316406700,2016-04-15,Dealer_self,818389200
1209762470,2016-04-18,Investment_Trust,1184086505
18147549907,2016-04-18,Foreign_Investor,17540098296
3749050070,2016-04-18,Dealer_Hedging,4630237665
823794430,2016-04-18,Dealer_self,877673570
23930156877,2016-04-18,total,24232096036
1116703810,2016-04-19,Investment_Trust,1513767346
1135812930,2016-04-19,Dealer_self,1147443304
23956563806,2016-04-19,Foreign_Investor,24458612314
4376123060,2016-04-19,Dealer_Hedging,5597713108
30585203606,2016-04-19,total,32717536072
1298285400,2016-04-20,Dealer_self,1434097207
6175655920,2016-04-20,Dealer_Hedging,6922115122
978534590,2016-04-20,Investment_Trust,1219417530
36259939094,2016-04-20,total,38396463021
27807463184,2016-04-20,Foreign_Investor,28820833162
32053050115,2016-04-21,total,22594625568
895597290,2016-04-21,Dealer_self,941956429
23585575785,2016-04-21,Foreign_Investor,16225008899
1174423780,2016-04-21,Investment_Trust,1425018700
6397453260,2016-04-21,Dealer_Hedging,4002641540
23906012831,2016-04-22,Foreign_Investor,20225664819
1015758650,2016-04-22,Investment_Trust,1107764880
752169390,2016-04-22,Dealer_self,1331076620
4716527030,2016-04-22,Dealer_Hedging,4164325362
30390467901,2016-04-22,total,26828831681
24788443956,2016-04-25,total,20423891963
1314618778,2016-04-25,Investment_Trust,1088984711
603035349,2016-04-25,Dealer_self,889707173
19278955269,2016-04-25,Foreign_Investor,15283001339
3591834560,2016-04-25,Dealer_Hedging,3162198740
664785868,2016-04-26,Dealer_self,809058060
676135450,2016-04-26,Investment_Trust,668843270
23335180380,2016-04-26,Foreign_Investor,20251849952
28406681857,2016-04-26,total,25334407102
3730580159,2016-04-26,Dealer_Hedging,3604655820
3962903150,2016-04-27,Dealer_Hedging,2821097905
792289270,2016-04-27,Investment_Trust,700295911
1063325989,2016-04-27,Dealer_self,833430875
32044978018,2016-04-27,total,30507495082
26226459609,2016-04-27,Foreign_Investor,26152670391
822547249,2016-04-28,Dealer_self,1231044901
24725696290,2016-04-28,Foreign_Investor,31210194825
4347255930,2016-04-28,Dealer_Hedging,5080665084
704509410,2016-04-28,Investment_Trust,759054970
30600008879,2016-04-28,total,38280959780
32940607252,2016-04-29,total,39107429697
3981644715,2016-04-29,Dealer_Hedging,3090429592
27358841599,2016-04-29,Foreign_Investor,33421003678
746873770,2016-04-29,Investment_Trust,1427822677
853247168,2016-04-29,Dealer_self,1168173750
23452876947,2016-05-03,Foreign_Investor,36078690031
30233612797,2016-05-03,total,41603807202
731421770,2016-05-03,Investment_Trust,1159127870
5088468910,2016-05-03,Dealer_Hedging,3508201281
960845170,2016-05-03,Dealer_self,857788020
845914260,2016-05-04,Investment_Trust,1062756472
4538239390,2016-05-04,Dealer_Hedging,4861637397
23716482271,2016-05-04,Foreign_Investor,37408455749
997651225,2016-05-04,Dealer_self,1038660861
30098287146,2016-05-04,total,44371510479
892600860,2016-05-05,Investment_Trust,1516228851
26641802129,2016-05-05,total,36883291953
19841278914,2016-05-05,Foreign_Investor,30565369072
4810056075,2016-05-05,Dealer_Hedging,3826838280
1097866280,2016-05-05,Dealer_self,974855750
31711237817,2016-05-06,total,45076892413
867689690,2016-05-06,Dealer_self,1007797090
24743513397,2016-05-06,Foreign_Investor,38550008997
1085336500,2016-05-06,Investment_Trust,828951316
5014698230,2016-05-06,Dealer_Hedging,4690135010
27828309890,2016-05-09,total,35809609154
21292025683,2016-05-09,Foreign_Investor,28503107912
4636251933,2016-05-09,Dealer_Hedging,4863154495
617106514,2016-05-09,Dealer_self,1229438582
1282925760,2016-05-09,Investment_Trust,1213908165
6111508010,2016-05-10,Dealer_Hedging,3761813746
1100170600,2016-05-10,Dealer_self,1370492708
22972925862,2016-05-10,Foreign_Investor,26916006740
1055107668,2016-05-10,Investment_Trust,691093806
31239712140,2016-05-10,total,32739407000
1042956910,2016-05-11,Dealer_self,1266373748
31033444158,2016-05-11,total,39751409566
5234375270,2016-05-11,Dealer_Hedging,4350033097
1495989567,2016-05-11,Investment_Trust,769827760
23260122411,2016-05-11,Foreign_Investor,33365174961
890007935,2016-05-12,Investment_Trust,808481716
918280060,2016-05-12,Dealer_self,1149326502
26494880696,2016-05-12,total,29233801728
4633687670,2016-05-12,Dealer_Hedging,3933412710
20052905031,2016-05-12,Foreign_Investor,23342580800
1215649070,2016-05-13,Dealer_self,1310884392
33705018424,2016-05-13,total,46448341522
5301378840,2016-05-13,Dealer_Hedging,3921412785
26182834971,2016-05-13,Foreign_Investor,40272619865
1005155543,2016-05-13,Investment_Trust,943424480
981909250,2016-05-16,Dealer_self,694955828
858167270,2016-05-16,Investment_Trust,598185640
26695297810,2016-05-16,total,28163373017
21084217270,2016-05-16,Foreign_Investor,24055560629
3771004020,2016-05-16,Dealer_Hedging,2814670920
25595604529,2016-05-17,total,30176053725
1110170590,2016-05-17,Investment_Trust,870101505
19667424439,2016-05-17,Foreign_Investor,24699726862
3684882830,2016-05-17,Dealer_Hedging,3823720878
1133126670,2016-05-17,Dealer_self,782504480
3785036025,2016-05-18,Dealer_Hedging,4257791837
29742490531,2016-05-18,total,32576535436
1000985790,2016-05-18,Dealer_self,730584680
649415870,2016-05-18,Investment_Trust,869704912
24307052846,2016-05-18,Foreign_Investor,26718454007
4023866615,2016-05-19,Dealer_Hedging,3271612020
661795060,2016-05-19,Dealer_self,676763310
415780590,2016-05-19,Investment_Trust,958663505
23811078744,2016-05-19,total,32016093562
18709636479,2016-05-19,Foreign_Investor,27109054727
793244800,2016-05-20,Investment_Trust,715502418
747822530,2016-05-20,Dealer_self,942970399
3620329300,2016-05-20,Dealer_Hedging,3701165200
25853395004,2016-05-20,total,26147198689
20691998374,2016-05-20,Foreign_Investor,20787560672
6624213275,2016-05-23,Dealer_Hedging,4389100696
30880847671,2016-05-23,Foreign_Investor,22395429893
41409968776,2016-05-23,total,28966463719
1875035020,2016-05-23,Dealer_self,1418439040
2029872810,2016-05-23,Investment_Trust,763494090
1175962380,2016-05-24,Investment_Trust,892393398
3200162050,2016-05-24,Dealer_Hedging,4160113950
857457340,2016-05-24,Dealer_self,746147790
21190278214,2016-05-24,Foreign_Investor,22245590723
26423859984,2016-05-24,total,28044245861
26058820074,2016-05-25,Foreign_Investor,22721269545
33607443704,2016-05-25,total,28800893814
1114606320,2016-05-25,Dealer_self,1158317290
5048380950,2016-05-25,Dealer_Hedging,3740404910
1385636360,2016-05-25,Investment_Trust,1180902069
895170980,2016-05-26,Investment_Trust,799945063
19921484491,2016-05-26,Foreign_Investor,18263848299
795378370,2016-05-26,Dealer_self,736435767
25512736571,2016-05-26,total,23754763705
3900702730,2016-05-26,Dealer_Hedging,3954534576
1077468740,2016-05-27,Investment_Trust,771829812
25163728654,2016-05-27,Foreign_Investor,20592221628
1212371644,2016-05-27,Dealer_self,670484504
30737078133,2016-05-27,total,25903388975
3283509095,2016-05-27,Dealer_Hedging,3868853031
1396200100,2016-05-30,Dealer_self,1310530269
36621866217,2016-05-30,total,22168808144
4594813010,2016-05-30,Dealer_Hedging,3897145619
29895525107,2016-05-30,Foreign_Investor,15980676536
735328000,2016-05-30,Investment_Trust,980455720
68364438347,2016-05-31,total,63966742863
59975312877,2016-05-31,Foreign_Investor,56419040620
941536560,2016-05-31,Investment_Trust,1154222632
911511890,2016-05-31,Dealer_self,1576687680
6536077020,2016-05-31,Dealer_Hedging,4816791931
26493701470,2016-06-01,Foreign_Investor,17033059993
4098778030,2016-06-01,Dealer_Hedging,5965527016
1294752950,2016-06-01,Dealer_self,795599821
732220410,2016-06-01,Investment_Trust,1037151029
32619452860,2016-06-01,total,24831337859
3501536810,2016-06-02,Dealer_Hedging,6766237410
26994128005,2016-06-02,Foreign_Investor,20247498399
893268570,2016-06-02,Investment_Trust,1166211158
32691694895,2016-06-02,total,29113177307
1302761510,2016-06-02,Dealer_self,933230340
2991227840,2016-06-03,Dealer_Hedging,4551296061
23663375994,2016-06-03,Foreign_Investor,14698171815
742307610,2016-06-03,Dealer_self,1072952870
491346790,2016-06-03,Investment_Trust,843273042
27888258234,2016-06-03,total,21165693788
1185737009,2016-06-04,Foreign_Investor,621518830
1910769950,2016-06-04,Dealer_Hedging,2244501470
4152583759,2016-06-04,total,4426951790
592653830,2016-06-04,Dealer_self,263072260
463422970,2016-06-04,Investment_Trust,1297859230
26496758494,2016-06-06,total,23128473001
2990214166,2016-06-06,Dealer_Hedging,4692167272
22005796148,2016-06-06,Foreign_Investor,16924235110
687352470,2016-06-06,Investment_Trust,808912551
813395710,2016-06-06,Dealer_self,703158068
3592184283,2016-06-07,Dealer_Hedging,6654605579
38024048749,2016-06-07,Foreign_Investor,23015540896
