stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
07026P,2015M01,0.98,0.0,182000,169860,22,2016-01-01,0.0,0.85,0.0
07027P,2015M01,0.49,0.0,414000,161480,44,2016-01-01,0.27,0.0,-0.04
07028P,2015M01,0.19,0.0,6000,1140,2,2016-01-01,0.0,0.0,0.0
07029P,2015M01,1.51,0.88,17036000,17527700,578,2016-01-01,0.95,0.88,0.02
07030P,2015M01,3.5,0.0,15192000,37152540,426,2016-01-01,1.01,1.24,1.01
07031P,2015M01,2.98,0.0,8444000,17207220,314,2016-01-01,1.16,0.85,0.34
07032P,2015M01,2.52,0.0,594000,891860,68,2016-01-01,0.0,1.2,0.0
07033P,2015M01,3.09,0.0,308000,650440,36,2016-01-01,0.0,1.73,-1.66
07034P,2015M01,2.37,0.0,768000,1497540,38,2016-01-01,1.9,1.68,0.34
07035P,2015M01,3.67,1.17,17728000,39427600,1032,2016-01-01,1.25,1.32,0.01
07036P,2015M01,0.19,0.0,5430000,770300,46,2016-01-01,0.0,0.13,-0.13
07037P,2015M01,0.97,0.0,148000,111960,14,2016-01-01,0.35,0.0,0.35
07038P,2015M01,3.21,0.0,106000,267560,42,2016-01-01,2.48,1.78,2.48
07039P,2015M01,2.79,1.45,36604000,81481480,158,2016-01-01,1.84,1.45,0.31
07040P,2015M01,2.12,0.0,1422000,2614140,62,2016-01-01,0.0,1.47,-1.4
07041P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
07042P,2015M01,0.09,0.0,572000,34060,48,2016-01-01,0.0,0.09,-0.1
07043P,2015M01,2.98,0.0,750000,1202540,46,2016-01-01,0.0,1.16,-1.27
07044P,2015M01,0.96,0.0,17026000,12095100,428,2016-01-01,0.29,0.58,-0.34
07045P,2015M01,0.21,0.0,22320000,3042440,420,2016-01-01,0.0,0.1,0.0
